Time,Film
10:58:01,"111.      Toy Story 3(2010)
8.2
"
10:58:01,"112.      Metropolis(1927)
8.2
"
10:58:01,"113.      Ikiru(1952)
8.2
"
10:58:01,"114.      Per qualche dollaro in più(1965)
8.2
"
10:58:01,"115.      Jodaeiye Nader az Simin(2011)
8.2
"
10:58:01,"116.      Double Indemnity(1944)
8.2
"
10:58:01,"117.      The Apartment(1960)
8.2
"
10:58:01,"118.      Incendies(2010)
8.2
"
10:58:01,"119.      To Kill a Mockingbird(1962)
8.2
"
10:58:01,"120.      Indiana Jones and the Last Crusade(1989)
8.2
"
10:58:01,"121.      Up(2009)
8.2
"
10:58:01,"122.      L.A. Confidential(1997)
8.2
"
10:58:01,"123.      Heat(1995)
8.2
"
10:58:01,"124.      Monty Python and the Holy Grail(1975)
8.2
"
10:58:01,"125.      Die Hard(1988)
8.2
"
10:58:01,"126.      Rashômon(1950)
8.2
"
10:58:01,"127.      Yôjinbô(1961)
8.2
"
10:58:01,"128.      Batman Begins(2005)
8.2
"
10:58:01,"129.      Idi i smotri(1985)
8.2
"
10:58:01,"130.      Green Book(2018)
8.2
"
10:58:01,"131.      Bacheha-Ye aseman(1997)
8.2
"
10:58:01,"132.      Der Untergang(2004)
8.2
"
10:58:01,"133.      Unforgiven(1992)
8.2
"
10:58:01,"134.      Some Like It Hot(1959)
8.2
"
10:58:01,"135.      Hauru no ugoku shiro(2004)
8.2
"
10:58:01,"136.      Ran(1985)
8.2
"
10:58:01,"137.      The Great Escape(1963)
8.2
"
10:58:01,"138.      All About Eve(1950)
8.2
"
10:58:01,"139.      A Beautiful Mind(2001)
8.2
"
10:58:01,"140.      Casino(1995)
8.2
"
10:58:01,"141.      Pan's Labyrinth(2006)
8.2
"
10:58:01,"142.      Tonari no Totoro(1988)
8.2
"
10:58:01,"143.      El secreto de sus ojos(2009)
8.2
"
10:58:01,"144.      Raging Bull(1980)
8.2
"
10:58:01,"145.      Lock, Stock and Two Smoking Barrels(1998)
8.2
"
10:58:01,"146.      The Wolf of Wall Street(2013)
8.2
"
10:58:01,"147.      Judgment at Nuremberg(1961)
8.1
"
10:58:01,"148.      The Treasure of the Sierra Madre(1948)
8.1
"
10:58:01,"149.      There Will Be Blood(2007)
8.1
"
10:58:01,"150.      Babam ve Oglum(2005)
8.1
"
10:58:01,"151.      Three Billboards Outside Ebbing, Missouri(2017)
8.1
"
10:58:01,"152.      The Gold Rush(1925)
8.1
"
10:58:01,"153.      Chinatown(1974)
8.1
"
10:58:01,"154.      Dial M for Murder(1954)
8.1
"
10:58:01,"155.      V for Vendetta(2005)
8.1
"
10:58:01,"156.      Det sjunde inseglet(1957)
8.1
"
10:58:01,"157.      No Country for Old Men(2007)
8.1
"
10:58:01,"158.      Inside Out(2015)
8.1
"
10:58:01,"159.      Warrior(2011)
8.1
"
10:58:01,"160.      Shutter Island(2010)
8.1
"
10:58:01,"161.      Trainspotting(1996)
8.1
"
10:58:01,"162.      The Elephant Man(1980)
8.1
"
10:58:01,"163.      The Sixth Sense(1999)
8.1
"
10:58:01,"164.      The Thing(1982)
8.1
"
10:58:01,"165.      Gone with the Wind(1939)
8.1
"
10:58:01,"166.      Room(2015)
8.1
"
10:58:01,"167.      Jurassic Park(1993)
8.1
"
10:58:01,"168.      Smultronstället(1957)
8.1
"
10:58:01,"169.      Blade Runner(1982)
8.1
"
10:58:01,"170.      The Bridge on the River Kwai(1957)
8.1
"
10:58:01,"171.      Finding Nemo(2003)
8.1
"
10:58:01,"172.      Stalker(1979)
8.1
"
10:58:01,"173.      On the Waterfront(1954)
8.1
"
10:58:01,"174.      The Third Man(1949)
8.1
"
10:58:01,"175.      Fargo(1996)
8.1
"
10:58:01,"176.      Kill Bill: Vol. 1(2003)
8.1
"
10:58:01,"177.      The Truman Show(1998)
8.1
"
10:58:01,"178.      Gran Torino(2008)
8.1
"
10:58:01,"179.      Tôkyô monogatari(1953)
8.1
"
10:58:01,"180.      The Deer Hunter(1978)
8.1
"
10:58:01,"181.      Salinui chueok(2003)
8.1
"
10:58:01,"182.      Relatos salvajes(2014)
8.1
"
10:58:01,"183.      Klaus(2019)
8.1
"
10:58:01,"184.      Andhadhun(2018)
8.1
"
10:58:01,"185.      Eskiya(1996)
8.1
"
10:58:01,"186.      The Big Lebowski(1998)
8.1
"
10:58:01,"187.      Mary and Max(2009)
8.1
"
10:58:01,"188.      In the Name of the Father(1993)
8.1
"
10:58:01,"189.      Gone Girl(2014)
8.1
"
10:58:01,"190.      Hacksaw Ridge(2016)
8.1
"
10:58:01,"191.      To Be or Not to Be(1942)
8.1
"
10:58:01,"192.      The Grand Budapest Hotel(2014)
8.1
"
10:58:01,"193.      Ford v. Ferrari(2019)
8.1
"
10:58:01,"194.      Persona(1966)
8.1
"
10:58:01,"195.      Before Sunrise(1995)
8.1
"
10:58:01,"196.      Catch Me If You Can(2002)
8.1
"
10:58:01,"197.      How to Train Your Dragon(2010)
8.1
"
10:58:01,"198.      The General(1926)
8.1
"
10:58:01,"199.      Mr. Smith Goes to Washington(1939)
8.1
"
10:58:01,"200.      Sherlock Jr.(1924)
8.1
"
10:58:01,"201.      Prisoners(2013)
8.1
"
10:58:01,"202.      12 Years a Slave(2013)
8.1
"
10:58:01,"203.      Cool Hand Luke(1967)
8.1
"
10:58:01,"204.      Mad Max: Fury Road(2015)
8.1
"
10:58:01,"205.      Barry Lyndon(1975)
8.1
"
10:58:01,"206.      Le salaire de la peur(1953)
8.1
"
10:58:01,"207.      Network(1976)
8.1
"
10:58:01,"208.      Stand by Me(1986)
8.1
"
10:58:01,"209.      Into the Wild(2007)
8.1
"
10:58:01,"210.      Million Dollar Baby(2004)
8.1
"
10:58:01,"211.      Life of Brian(1979)
8.1
"
